Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
77724,1121.6660000000002,401.7467361003612,247.3877495771615,1.6239556598377738,0.7879178566795523,79022,314.58110301636964,0.7021962832130241,0.9835741945281061,0.7763148533981168,0.7830333758773425,0.005168889096036761,0.0011986656824119284,0.6131412677378676,0.9957142320230178,BARBUNYA
58836,962.165,327.38949515637216,229.89997440628713,1.4240518991002504,0.7119584450797634,60103,273.70115427969614,0.7093802748975163,0.9789195214881121,0.7986452144198359,0.8360108015957181,0.005564441756006054,0.0016766751148708152,0.698914060384715,0.9952898949987206,BARBUNYA
60730,951.837,340.0269705658803,228.2420069030681,1.489765075148003,0.7412339502716229,61724,278.07164104195596,0.7457481426904894,0.983896053399002,0.84234107679955,0.8177928961905083,0.005598995069420061,0.0015447677090245507,0.6687852210596597,0.9963328651098179,BARBUNYA
70023,1025.656,363.03418551277804,246.50851804952433,1.4727044257344621,0.7341171084674233,71050,298.59010807625606,0.7198087993421053,0.9855453905700211,0.8364637554888036,0.8224848237212259,0.00518449917188321,0.0014635182586427748,0.6764812852517361,0.996256982716769,BARBUNYA
62363,950.295,360.5063423568373,220.63437689386836,1.633953636020426,0.7908481125024487,63010,281.785446267757,0.6905283904685977,0.9897317886049833,0.8678006568806066,0.7816379718192015,0.005780772931976289,0.0013310313054426778,0.6109579189896347,0.9982769131885866,BARBUNYA
79035,1077.848,392.82226370207525,257.4770602559176,1.5256592696515652,0.7552347974542477,80061,317.22308777600597,0.7988174651303821,0.9871847716116461,0.8548979609691726,0.8075486475394753,0.0049702317163544665,0.0013038606407638962,0.6521348181428356,0.9949355303621548,BARBUNYA
59255,922.943,329.2752344764207,229.5490083205205,1.4344441602494398,0.7169407137212037,60140,274.67400536505465,0.7476594241300124,0.9852843365480546,0.8741482770791414,0.8341775408703688,0.00555691898534167,0.0016597695752663209,0.6958521696925356,0.9981610812123598,BARBUNYA
69221,1021.744,378.5480822103894,233.55537934489038,1.6208065225138266,0.7869813496944965,70135,296.8752507807154,0.820542911332385,0.986967990304413,0.8332273961021515,0.7842471398804185,0.005468688435740446,0.0012760706447162106,0.6150435764106169,0.996866640276559,BARBUNYA
56506,911.9099999999999,311.90783359065324,231.3239233194459,1.348359603774856,0.6707959961363011,57392,268.22690714170545,0.7494760856301562,0.9845623083356565,0.8538871397104741,0.8599556607921733,0.005519906445167827,0.00186215453245515,0.7395237385285038,0.9971439350643935,BARBUNYA
58962,931.9010000000001,335.84408697811136,224.66662064926624,1.494855292733528,0.7432974393563728,59755,273.99406934580657,0.7001282416642918,0.9867291440046858,0.8531836316938639,0.8158371100446503,0.005695941232965493,0.0015565357056126902,0.665590190126007,0.9949610185013767,BARBUNYA
